open time,0
1549432800000,-0.0875211497198749
1549436400000,-0.08785548875454663
1549440000000,-0.08792793328479531
1549443600000,-0.08797524827690273
1549447200000,-0.08800564860110072
1549450800000,-0.08819521047306234
1549454400000,-0.08841129985899387
1549458000000,-0.08842958311802951
1549461600000,-0.08864888933640303
1549465200000,-0.0903001147923499
1549468800000,-0.08974147003173583
1549472400000,-0.08987049563885363
1549476000000,-0.09009194935209752
1549479600000,-0.09018414289521415
1549483200000,-0.09014816523145908
1549486800000,-0.09015023863576599
1549490400000,-0.09015854449522331
1549494000000,-0.09017112595685672
1549497600000,-0.09017476780587574
1549501200000,-0.09018173925465778
1549504800000,-0.09014724740014368
1549508400000,-0.09020352035338464
1549512000000,-0.09021727058043916
1549515600000,-0.0903075452827864
1549519200000,-0.09034275752599408
1549522800000,-0.09031011577525372
1549526400000,-0.09025698367120016
1549530000000,-0.09023626894887093
1549533600000,-0.09043057653844788
1549537200000,-0.0902154724581814
1549540800000,-0.09029112958110574
1549544400000,-0.09026558447650257
1549548000000,-0.09030967248718369
1549551600000,-0.09031798154497239
1549555200000,-0.09028493706645135
1549558800000,-0.09030322877129437
1549562400000,-0.09031278740105741
1549566000000,-0.09030084877187394
1549569600000,-0.09036828136650898
1549573200000,-0.09046671600689038
1549576800000,-0.09053464787630783
1549580400000,-0.09054809463562141
1549584000000,-0.09050120106138526
1549587600000,-0.09055826489219965
1549591200000,-0.09016229807475495
1549594800000,-0.09036595868081188
1549598400000,-0.09047667577161023
1549602000000,-0.09054044817090756
1549605600000,-0.09061281546356903
1549609200000,-0.09146676429579625
1549612800000,-0.08982038149134453
1549616400000,-0.08893069451233115
1549620000000,-0.08911550362245468
1549623600000,-0.08924510204053382
1549627200000,-0.08873411423081135
1549630800000,-0.08844751799589257
1549634400000,-0.08586274510949465
1549638000000,-0.01370872304417703
1549641600000,-0.03388771527771928
1549645200000,-0.033018780381903756
1549648800000,-0.033429017554694074
1549652400000,-0.03368690243389283
1549656000000,-0.03350457321123379
1549659600000,-0.03370369416327157
1549663200000,-0.033579298585000084
1549666800000,-0.03374517032414048
1549670400000,-0.033753255735521126
1549674000000,-0.033765973792241555
1549677600000,-0.03377033281386055
1549681200000,-0.03373287085279064
1549684800000,-0.033829548153363476
1549688400000,-0.03384195273337287
1549692000000,-0.033823498413878994
1549695600000,-0.03389008990539488
1549699200000,-0.03394187555608297
1549702800000,-0.03397402002137584
1549706400000,-0.03397495652971849
1549710000000,-0.03403670179782026
1549713600000,-0.03428843659425085
1549717200000,-0.034496770411807764
1549720800000,-0.03433590921693286
1549724400000,-0.034425262167923965
1549728000000,-0.0344996386877614
1549731600000,-0.03449808379750219
1549735200000,-0.034506134001608846
1549738800000,-0.034355802572027194
1549742400000,-0.03420782023784974
1549746000000,-0.034398055436710484
1549749600000,-0.034465574926618725
1549753200000,-0.03456940786305651
1549756800000,-0.03456887795925501
1549760400000,-0.03458124512143246
1549764000000,-0.03458631772057719
1549767600000,-0.03456145315610515
1549771200000,-0.034609577488800225
1549774800000,-0.034514979965564185
1549778400000,-0.03425340669247201
1549782000000,-0.03445606215299857
1549785600000,-0.03454664324890944
1549789200000,-0.03457197279494917
1549792800000,-0.03479747468562344
1549796400000,-0.034683701657036936
1549800000000,-0.03486071631069132
1549803600000,-0.035202990766425746
1549807200000,-0.03547760566901137
1549810800000,-0.03488223579947336
1549814400000,-0.03580080537904107
1549818000000,-0.03611249319633325
1549821600000,-0.03616255548926528
1549825200000,-0.03618971737464216
1549828800000,-0.036245278606251485
1549832400000,-0.03607638308516159
1549836000000,-0.034909042709289295
1549839600000,-0.04162631437013453
1549843200000,-0.03892857591485788
1549846800000,-0.03908229906362104
1549850400000,-0.03908780833318892
1549854000000,-0.03916043709853834
1549857600000,-0.039271346748612324
1549861200000,-0.039437283730166195
1549864800000,-0.03941115849655574
1549868400000,-0.039482383949350996
1549872000000,-0.03962667593959823
1549875600000,-0.03968593930866682
1549879200000,-0.03967508671887954
1549882800000,-0.03990133937570173
1549886400000,-0.03968488670325243
1549890000000,-0.03947758223767828
1549893600000,-0.03976315671243147
1549897200000,-0.03952967639368632
1549900800000,-0.03989770527236969
1549904400000,-0.03991255951380457
1549908000000,-0.03989475062433434
1549911600000,-0.039906114345673815
1549915200000,-0.039917283510571666
1549918800000,-0.04000567275016298
1549922400000,-0.04009871194101211
1549926000000,-0.039819879613528064
1549929600000,-0.04042677765887359
1549933200000,-0.040537982648115145
1549936800000,-0.04039994994564511
1549940400000,-0.04032551030081444
1549944000000,-0.0403407716946802
1549947600000,-0.0403413000678734
1549951200000,-0.040356148101118317
1549954800000,-0.040235448998987566
1549958400000,-0.040129229014724155
1549962000000,-0.04021677030777204
1549965600000,-0.04019368459613504
1549969200000,-0.0401098334726715
1549972800000,-0.04017246750371828
1549976400000,-0.04021226681604806
1549980000000,-0.04021117288091802
1549983600000,-0.0402122044205373
1549987200000,-0.04020056717827325
1549990800000,-0.04004195431556856
1549994400000,-0.039781086622019624
1549998000000,-0.03961135829929319
1550001600000,-0.04020990661081081
1550005200000,-0.04040291711445909
1550008800000,-0.04041476991261428
1550012400000,-0.040281520942115456
1550016000000,-0.04028266634534727
1550019600000,-0.0402956221535129
1550023200000,-0.040318178248271996
1550026800000,-0.04036523353094057
1550030400000,-0.04039921058982565
1550034000000,-0.04048485480991504
1550037600000,-0.04037749197218621
1550041200000,-0.0399520691465971
1550044800000,-0.040367201363674665
1550048400000,-0.04051737150500778
1550052000000,-0.04050899906399219
1550055600000,-0.04059124588085172
1550059200000,-0.04080828775097345
1550062800000,-0.04075543165110296
1550066400000,-0.040570585190713215
1550070000000,-0.04148998679038929
1550073600000,-0.04170409676634468
1550077200000,-0.04176008443363499
1550080800000,-0.041879112168385246
1550084400000,-0.0418543863047125
1550088000000,-0.04187906679427944
1550091600000,-0.04186626251887304
1550095200000,-0.04184666240644219
1550098800000,-0.04175864863577772
1550102400000,-0.04187469588712722
1550106000000,-0.04182815752247904
1550109600000,-0.04191440450645589
1550113200000,-0.04184049111174004
1550116800000,-0.04253918212708019
1550120400000,-0.042824900465408655
1550124000000,-0.04303323539765258
1550127600000,-0.04294090270490725
1550131200000,-0.04302511387942776
1550134800000,-0.04327629822906043
1550138400000,-0.04254632484620258
1550142000000,-0.042676237104710246
1550145600000,-0.042689772771017154
1550149200000,-0.04270707394100315
1550152800000,-0.042734490133424785
1550156400000,-0.04273350011115351
1550160000000,-0.04273863971390579
1550163600000,-0.042690090445753004
1550167200000,-0.042774568517931044
1550170800000,-0.042712837838265516
1550174400000,-0.042756276982304
1550178000000,-0.042825878225880576
1550181600000,-0.042795319689247435
1550185200000,-0.04284229456545163
1550188800000,-0.042674786032574685
1550192400000,-0.042671372474549774
1550196000000,-0.04267722665798801
1550199600000,-0.04245273950737061
1550203200000,-0.04277819911941161
1550206800000,-0.042910831433790486
1550210400000,-0.04294447389604361
1550214000000,-0.04295440599935563
1550217600000,-0.04287558873278896
1550221200000,-0.0432356366499127
1550224800000,-0.043904943084537296
1550228400000,-0.04465319164684134
1550232000000,-0.04471980065519032
1550235600000,-0.044794996007161414
1550239200000,-0.04494663322567982
1550242800000,-0.04518415833522238
1550246400000,-0.0451039061100027
1550250000000,-0.045073412616642994
1550253600000,-0.04513016110827839
1550257200000,-0.045176731598619346
1550260800000,-0.04520751413675139
1550264400000,-0.04521611301330197
1550268000000,-0.0452130604673584
1550271600000,-0.04517653995325022
1550275200000,-0.04528116031131568
1550278800000,-0.04540121895658422
1550282400000,-0.04516676549012244
1550286000000,-0.04545401450963271
1550289600000,-0.045407082272748145
1550293200000,-0.045444450675830916
1550296800000,-0.045457866956181814
1550300400000,-0.04546422847984255
1550304000000,-0.04546994425061501
1550307600000,-0.045464023987296764
1550311200000,-0.046145852936064546
1550314800000,-0.046406033674508906
1550318400000,-0.046608320922088886
1550322000000,-0.04652488616913475
1550325600000,-0.046576421355146724
1550329200000,-0.04656196486172459
1550332800000,-0.04651045971709489
1550336400000,-0.04650966063087458
1550340000000,-0.046530030046977755
1550343600000,-0.04648519702951659
1550347200000,-0.04651632640419767
1550350800000,-0.046505512128900195
1550354400000,-0.046466741192326966
1550358000000,-0.046726578688099485
1550361600000,-0.0466166431610755
1550365200000,-0.04662320350922644
1550368800000,-0.04664395283377765
1550372400000,-0.046642559363824
1550376000000,-0.046591606478131986
1550379600000,-0.04664453003774516
1550383200000,-0.04670297638645482
1550386800000,-0.046768413110853446
1550390400000,-0.04681444004529434
1550394000000,-0.04688314916610792
1550397600000,-0.04646712479247661
1550401200000,-0.046429501637621495
1550404800000,-0.046480138337030574
1550408400000,-0.04651906794547722
1550412000000,-0.04656750334045534
1550415600000,-0.04658543613541766
1550419200000,-0.046600171438282656
1550422800000,-0.04672318304008605
1550426400000,-0.04688630751835299
1550430000000,-0.046892169951905815
1550433600000,-0.046883083208495435
1550437200000,-0.04655188981171987
1550440800000,-0.044857988501948665
1550444400000,-0.037624926725426944
1550448000000,-0.03988660802697597
1550451600000,-0.04171954606730455
1550455200000,-0.04037396495589185
1550458800000,-0.04162228316604577
1550462400000,-0.04175017321690011
1550466000000,-0.0417710168902139
1550469600000,-0.04180334302232169
1550473200000,-0.04183228146126572
1550476800000,-0.04180589438653559
1550480400000,-0.04221364609188338
1550484000000,-0.04355532621549152
1550487600000,-0.04192955584199609
1550491200000,-0.03488529152953834
1550494800000,-0.0415191327327844
1550498400000,-0.04345037456142009
1550502000000,-0.04097911952083866
1550505600000,-0.03625864736810236
1550509200000,-0.035736252148649506
1550512800000,-0.035930488658846294
1550516400000,-0.036025953472664574
1550520000000,-0.03612680156817061
1550523600000,-0.03624092233833509
1550527200000,-0.03620759864055434
1550530800000,-0.03582389786621665
1550534400000,-0.051891367942974
1550538000000,-0.05142516387087959
1550541600000,-0.05177743352967257
1550545200000,-0.05159250634296342
1550548800000,-0.051737404636417406
1550552400000,-0.051883736433256944
1550556000000,-0.05161664938085586
1550559600000,-0.0518806604024149
1550563200000,-0.05172251644703563
1550566800000,-0.05175952442765741
1550570400000,-0.051832893975267025
1550574000000,-0.051710484179693816
1550577600000,-0.04915758922697666
1550581200000,-0.05574125901560767
1550584800000,-0.05806530051054515
1550588400000,-0.058500883175313545
1550592000000,-0.05849952982026463
1550595600000,-0.058379978678887
