etime,close
2014/2/26,3314
2014/2/27,3329
2014/2/28,3321
2014/3/3,3313
2014/3/4,3407
2014/3/5,3415
2014/3/6,3404
2014/3/7,3356
2014/3/10,3245
2014/3/11,3219
2014/3/12,3223
2014/3/13,3265
2014/3/14,3248
2014/3/17,3245
2014/3/18,3249
2014/3/19,3240
2014/3/20,3254
2014/3/21,3229
2014/3/24,3206
2014/3/25,3264
2014/3/26,3271
2014/3/27,3272
2014/3/28,3289
2014/3/31,3326
2014/4/1,3326
2014/4/2,3328
2014/4/3,3328
2014/4/4,3352
2014/4/8,3405
2014/4/9,3402
2014/4/10,3385
2014/4/11,3366
2014/4/14,3369
2014/4/15,3353
2014/4/16,3337
2014/4/17,3331
2014/4/18,3270
2014/4/21,3249
2014/4/22,3232
2014/4/23,3242
2014/4/24,3275
2014/4/25,3279
2014/4/28,3230
2014/4/29,3244
2014/4/30,3231
2014/5/5,3224
2014/5/6,3232
2014/5/7,3216
2014/5/8,3186
2014/5/9,3172
2014/5/12,3177
2014/5/13,3180
2014/5/14,3169
2014/5/15,3152
2014/5/16,3097
2014/5/19,3085
2014/5/20,3074
2014/5/21,3071
2014/5/22,3096
2014/5/23,3083
2014/5/26,3126
2014/5/27,3139
2014/5/28,3120
2014/5/29,3116
2014/5/30,3069
2014/6/3,3052
2014/6/4,3061
2014/6/5,3053
2014/6/6,3071
2014/6/9,3068
2014/6/10,3061
2014/6/11,3058
2014/6/12,3034
2014/6/13,3032
2014/6/16,3013
2014/6/17,3009
2014/6/18,3014
2014/6/19,3014
2014/6/20,3026
2014/6/23,3064
2014/6/24,3057
2014/6/25,3073
2014/6/26,3100
2014/6/27,3106
2014/6/30,3078
2014/7/1,3071
2014/7/2,3078
2014/7/3,3096
2014/7/4,3101
2014/7/7,3090
2014/7/8,3097
2014/7/9,3103
2014/7/10,3120
2014/7/11,3121
2014/7/14,3143
2014/7/15,3144
2014/7/16,3141
2014/7/17,3129
2014/7/18,3086
2014/7/21,3052
2014/7/22,3050
2014/7/23,3038
2014/7/24,3042
2014/7/25,3042
2014/7/28,3065
2014/7/29,3096
2014/7/30,3079
2014/7/31,3073
2014/8/1,3063
2014/8/4,3084
2014/8/5,3107
2014/8/6,3106
2014/8/7,3115
2014/8/8,3088
2014/8/11,3084
2014/8/12,3061
2014/8/13,3053
2014/8/14,3032
2014/8/15,3024
2014/8/18,3018
2014/8/19,3013
2014/8/20,3001
2014/8/21,2986
2014/8/22,2990
2014/8/25,2969
2014/8/26,2974
2014/8/27,2977
2014/8/28,2947
2014/8/29,2937
2014/9/1,2924
2014/9/2,2911
2014/9/3,2875
2014/9/4,2849
2014/9/5,2837
2014/9/9,2798
2014/9/10,2773
2014/9/11,2764
2014/9/12,2771
2014/9/15,2817
2014/9/16,2804
2014/9/17,2793
2014/9/18,2776
2014/9/19,2729
2014/9/22,2649
2014/9/23,2620
2014/9/24,2624
2014/9/25,2583
2014/9/26,2589
2014/9/29,2542
2014/9/30,2546
2014/10/8,2532
2014/10/9,2535
2014/10/10,2562
2014/10/13,2643
