timestamp,earth_gouzhifee_yoy,estate_invest_yoy,fdckftzwce_bangonglou_yoy,fwsgmj_bangonglou_accumyoy
2021-08-31,2.9,10.9,1.8,2.2
2021-09-30,1.1,8.8,-0.5,2.5
2021-10-31,0.4,7.2,-4.9,1.9
2021-11-30,-0.6,6,-6.1,2.3
2021-12-31,-2.1,4.4,-8,1.7
2022-01-31,,,,
2022-02-28,11.3,3.7,-1.5,-1.1
2022-03-31,0.6,0.7,-1.6,-0.8
2022-04-30,-3.8,-2.7,-8.2,-1
2022-05-31,-6.3,-4,-9.4,-1.2
2022-06-30,-4.6,-5.4,-10.1,-2.5
2022-07-31,-4.0,-6.4,-10.3,-3.3
2022-08-31,-4.5,-7.4,-10.1,-3.7
2022-09-30,-5.0,-8.0,-9.9,-5.1
2022-10-31,-5.7,-8.8,-10.3,-5.4
2022-11-30,-6.3,-9.8,-11.3,-6.7
2022-12-31,-5.7,-10.0,-11.4,-7.5
2023-02-28,16.4,-5.7,-7.6,-2.9
